check,path,ok,observed,expected,tolerance,detail
display_file_integrity_spot,display,True,png=True; png_error=none; mp4=required; movie_valid=True; movie_error=none; frames=True; final_time=True; fps=True; hash_and_size=True; run_manifest=True,PNG readable; MP4 may be absent only when not requested and not recorded in JSON; every present MP4 must be readable and match frames/fps/final-time/hash/size; optional manifest hashes match,exact/boolean,display file integrity
display_required_diagnostics_spot,display/display_spot_strong_qtp_summary.json,True,"{'no_nan': True, 'physical_covariance': True, 'npt_diagnostic': True, 'stable_gaussian_reduction': True, 'pattern_excess_positive': True, 'spectral_selection_passed': True, 'persistence_passed': True, 'strong_qtp': True, 'diagnostics_passed': True}","['no_nan', 'physical_covariance', 'npt_diagnostic', 'stable_gaussian_reduction', 'pattern_excess_positive', 'spectral_selection_passed', 'persistence_passed', 'strong_qtp', 'diagnostics_passed'] true for claim level numerical_reference_demonstration",boolean,display required JSON diagnostics for selected claim level
display_scientific_diagnostics_spot,display/display_spot_strong_qtp_summary.json,True,"{'no_nan': True, 'physical_covariance': True, 'npt_diagnostic': True, 'stable_gaussian_reduction': True, 'pattern_excess_positive': True, 'spectral_selection_passed': True, 'persistence_passed': True, 'strong_qtp': True, 'diagnostics_passed': True}",all finite-run scientific diagnostics pass,boolean/reporting,display scientific diagnostics; claim_status=NUMERICAL_REFERENCE_DEMONSTRATION
display_claim_level_spot,display/display_spot_strong_qtp_summary.json,True,"{'claim_level': 'numerical_reference_demonstration', 'theorem_level_claimed': False}",stripe exact reference may claim theorem level; spot/labyrinth references are numerical demonstrations; exploration never claims theorem level,categorical/boolean,display claim consistency
display_run_manifest_spot,display/run_manifest.csv,True,optional-absent,optional; if present all listed files match size and SHA-256,sha256/size exact,output manifest integrity
display_png_spot,display/display_spot_strong_qtp.png,True,2873x1299,exists and is readable,nonzero/readable,display PNG
display_movie_spot,display/display_spot_strong_qtp.mp4,True,"{'mode': 'required', 'exists': True, 'readable': True, 'frames_match': True, 'final_match': True, 'fps_match': True, 'hash_match': True, 'size_match': True, 'error': ''}",absent allowed only in no-require mode without movie metadata; otherwise all checks true,exact/0.2 fps,display MP4 optional/required integrity
display_json_spot_no_nan,display/display_spot_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_spot_physical_covariance,display/display_spot_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_spot_npt_diagnostic,display/display_spot_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_spot_stable_gaussian_reduction,display/display_spot_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_spot_pattern_excess_positive,display/display_spot_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_spot_spectral_selection_passed,display/display_spot_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_spot_persistence_passed,display/display_spot_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_spot_strong_qtp,display/display_spot_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_spot_diagnostics_passed,display/display_spot_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_spot_theorem_level_claimed,display/display_spot_strong_qtp_summary.json,True,False,reported only,boolean,display diagnostic/claim flag (reported only for this claim level)
display_file_integrity_stripe,display,True,png=True; png_error=none; mp4=required; movie_valid=True; movie_error=none; frames=True; final_time=True; fps=True; hash_and_size=True; run_manifest=True,PNG readable; MP4 may be absent only when not requested and not recorded in JSON; every present MP4 must be readable and match frames/fps/final-time/hash/size; optional manifest hashes match,exact/boolean,display file integrity
display_required_diagnostics_stripe,display/display_stripe_strong_qtp_summary.json,True,"{'no_nan': True, 'physical_covariance': True, 'npt_diagnostic': True, 'stable_gaussian_reduction': True, 'pattern_excess_positive': True, 'spectral_selection_passed': True, 'persistence_passed': True, 'strong_qtp': True, 'diagnostics_passed': True, 'theorem_level_claimed': True}","['no_nan', 'physical_covariance', 'npt_diagnostic', 'stable_gaussian_reduction', 'pattern_excess_positive', 'spectral_selection_passed', 'persistence_passed', 'strong_qtp', 'diagnostics_passed', 'theorem_level_claimed'] true for claim level theorem_level_reference",boolean,display required JSON diagnostics for selected claim level
display_scientific_diagnostics_stripe,display/display_stripe_strong_qtp_summary.json,True,"{'no_nan': True, 'physical_covariance': True, 'npt_diagnostic': True, 'stable_gaussian_reduction': True, 'pattern_excess_positive': True, 'spectral_selection_passed': True, 'persistence_passed': True, 'strong_qtp': True, 'diagnostics_passed': True}",all finite-run scientific diagnostics pass,boolean/reporting,display scientific diagnostics; claim_status=THEOREM_LEVEL_REFERENCE
display_claim_level_stripe,display/display_stripe_strong_qtp_summary.json,True,"{'claim_level': 'theorem_level_reference', 'theorem_level_claimed': True}",stripe exact reference may claim theorem level; spot/labyrinth references are numerical demonstrations; exploration never claims theorem level,categorical/boolean,display claim consistency
display_run_manifest_stripe,display/run_manifest.csv,True,optional-absent,optional; if present all listed files match size and SHA-256,sha256/size exact,output manifest integrity
display_png_stripe,display/display_stripe_strong_qtp.png,True,2893x1299,exists and is readable,nonzero/readable,display PNG
display_movie_stripe,display/display_stripe_strong_qtp.mp4,True,"{'mode': 'required', 'exists': True, 'readable': True, 'frames_match': True, 'final_match': True, 'fps_match': True, 'hash_match': True, 'size_match': True, 'error': ''}",absent allowed only in no-require mode without movie metadata; otherwise all checks true,exact/0.2 fps,display MP4 optional/required integrity
display_json_stripe_no_nan,display/display_stripe_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_stripe_physical_covariance,display/display_stripe_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_stripe_npt_diagnostic,display/display_stripe_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_stripe_stable_gaussian_reduction,display/display_stripe_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_stripe_pattern_excess_positive,display/display_stripe_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_stripe_spectral_selection_passed,display/display_stripe_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_stripe_persistence_passed,display/display_stripe_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_stripe_strong_qtp,display/display_stripe_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_stripe_diagnostics_passed,display/display_stripe_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_stripe_theorem_level_claimed,display/display_stripe_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_exhibit_manifest_cases,display/display_exhibit_manifest.csv,True,"['labyrinth', 'spot', 'stripe']","['labyrinth', 'spot', 'stripe']",exact,museum exhibit manifest case set
display_exhibit_movie_spot,display/display_spot_exhibit.mp4,True,"{'manifest': {'case': 'spot', 'filename': 'display_spot_exhibit.mp4', 'sha256': '8996ed1836e467d06a0328ce803bebb6b099172f290d7dad826ae1d1dca75251', 'size_bytes': '2539906', 'n_frames': '61', 'fps': '8.0', 'width': '1440', 'height': '800', 'physical_final_time': '50.0', 'field_vmin': '-0.24', 'field_vmax': '0.24', 'diagnostic_vmin': '0.0', 'diagnostic_vmax': '0.028714321553707123', 'pattern_grid_L': '128', 'diagnostic_grid_L': '128', 'diagnostic_spatial_stride': '1', 'inter_panel_extra_gap_px': '40', 'y_label_x_offset_px': '76', 'visitor_right_panel_title': 'Entanglement diagnostic', 'font_family': 'Times', 'axis_label_font_size': '19', 'axis_label_scale_reference': '$x/L$'}, 'observed': {'exists': True, 'n_frames': 61, 'fps': 8.0, 'width': 1440, 'height': 800, 'duration': 7.63, 'sha256': '8996ed1836e467d06a0328ce803bebb6b099172f290d7dad826ae1d1dca75251', 'size_bytes': 2539906, 'summary_final_time': 50.0, 'summary_n_frames': 61}, 'checks': {'exists': True, 'n_frames': True, 'fps': True, 'dimensions': True, 'hash': True, 'size': True, 'physical_time': True, 'native_diagnostic_grid': True, 'exhibit_gap': True, 'y_label_spacing': True, 'visitor_title': True, 'times_typography': True, 'axis_label_common_scale': True, 'axis_label_font_size': True, 'summary_binding': True}}","{'n_frames': 61, 'fps': 8, 'width': 1440, 'height': 800, 'physical_final_time': 50.0, 'hash_and_size': 'exact', 'summary_binding': True, 'diagnostic_grid': 'native stride-1', 'inter_panel_extra_gap_px': '>=38', 'y_label_x_offset_px': '>=76', 'visitor_right_panel_title': 'Entanglement diagnostic', 'font_family': 'Times', 'axis_label_scale_reference': '$x/L$', 'axis_label_font_size': 19}",exact; fps ±0.2,museum exhibit MP4 integrity and scientific time binding
display_exhibit_movie_labyrinth,display/display_labyrinth_exhibit.mp4,True,"{'manifest': {'case': 'labyrinth', 'filename': 'display_labyrinth_exhibit.mp4', 'sha256': 'd75a3ba7fe8abe098091ab350b715c3c5cc619403c9c768ed5ff524fbbdd207c', 'size_bytes': '3746922', 'n_frames': '61', 'fps': '8.0', 'width': '1440', 'height': '800', 'physical_final_time': '80.0', 'field_vmin': '-0.24', 'field_vmax': '0.24', 'diagnostic_vmin': '0.0', 'diagnostic_vmax': '0.028714321553707123', 'pattern_grid_L': '128', 'diagnostic_grid_L': '128', 'diagnostic_spatial_stride': '1', 'inter_panel_extra_gap_px': '40', 'y_label_x_offset_px': '76', 'visitor_right_panel_title': 'Entanglement diagnostic', 'font_family': 'Times', 'axis_label_font_size': '19', 'axis_label_scale_reference': '$x/L$'}, 'observed': {'exists': True, 'n_frames': 61, 'fps': 8.0, 'width': 1440, 'height': 800, 'duration': 7.63, 'sha256': 'd75a3ba7fe8abe098091ab350b715c3c5cc619403c9c768ed5ff524fbbdd207c', 'size_bytes': 3746922, 'summary_final_time': 80.0, 'summary_n_frames': 61}, 'checks': {'exists': True, 'n_frames': True, 'fps': True, 'dimensions': True, 'hash': True, 'size': True, 'physical_time': True, 'native_diagnostic_grid': True, 'exhibit_gap': True, 'y_label_spacing': True, 'visitor_title': True, 'times_typography': True, 'axis_label_common_scale': True, 'axis_label_font_size': True, 'summary_binding': True}}","{'n_frames': 61, 'fps': 8, 'width': 1440, 'height': 800, 'physical_final_time': 80.0, 'hash_and_size': 'exact', 'summary_binding': True, 'diagnostic_grid': 'native stride-1', 'inter_panel_extra_gap_px': '>=38', 'y_label_x_offset_px': '>=76', 'visitor_right_panel_title': 'Entanglement diagnostic', 'font_family': 'Times', 'axis_label_scale_reference': '$x/L$', 'axis_label_font_size': 19}",exact; fps ±0.2,museum exhibit MP4 integrity and scientific time binding
display_exhibit_movie_stripe,display/display_stripe_exhibit.mp4,True,"{'manifest': {'case': 'stripe', 'filename': 'display_stripe_exhibit.mp4', 'sha256': '991a2c8b2b0aeea6632fc01e6ce6f23093671aae5ab0f64e5f631ff670d03737', 'size_bytes': '766559', 'n_frames': '61', 'fps': '8.0', 'width': '1440', 'height': '800', 'physical_final_time': '160.0', 'field_vmin': '-0.24', 'field_vmax': '0.24', 'diagnostic_vmin': '0.0', 'diagnostic_vmax': '0.028714321553707123', 'pattern_grid_L': '192', 'diagnostic_grid_L': '192', 'diagnostic_spatial_stride': '1', 'inter_panel_extra_gap_px': '40', 'y_label_x_offset_px': '76', 'visitor_right_panel_title': 'Entanglement diagnostic', 'font_family': 'Times', 'axis_label_font_size': '19', 'axis_label_scale_reference': '$x/L$'}, 'observed': {'exists': True, 'n_frames': 61, 'fps': 8.0, 'width': 1440, 'height': 800, 'duration': 7.63, 'sha256': '991a2c8b2b0aeea6632fc01e6ce6f23093671aae5ab0f64e5f631ff670d03737', 'size_bytes': 766559, 'summary_final_time': 160.0, 'summary_n_frames': 61}, 'checks': {'exists': True, 'n_frames': True, 'fps': True, 'dimensions': True, 'hash': True, 'size': True, 'physical_time': True, 'native_diagnostic_grid': True, 'exhibit_gap': True, 'y_label_spacing': True, 'visitor_title': True, 'times_typography': True, 'axis_label_common_scale': True, 'axis_label_font_size': True, 'summary_binding': True}}","{'n_frames': 61, 'fps': 8, 'width': 1440, 'height': 800, 'physical_final_time': 160.0, 'hash_and_size': 'exact', 'summary_binding': True, 'diagnostic_grid': 'native stride-1', 'inter_panel_extra_gap_px': '>=38', 'y_label_x_offset_px': '>=76', 'visitor_right_panel_title': 'Entanglement diagnostic', 'font_family': 'Times', 'axis_label_scale_reference': '$x/L$', 'axis_label_font_size': 19}",exact; fps ±0.2,museum exhibit MP4 integrity and scientific time binding
display_exhibit_common_scales,display/display_exhibit_manifest.csv,True,"{'field_scales': ['(-0.24, 0.24)'], 'diagnostic_scales': ['(0.0, 0.028714321553707123)']}",one common field scale and one common diagnostic scale across all cases,exact,museum exhibit comparison scales
